城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2017,556.5994178,309.0987004,18920.36344,72157.0,0.7415,35721.9,0.287766667,305.0,0.180503105,0.332704436,2,526.4390867,109.0177837,32.7064648
安庆市,安徽省,2017,466.946286,500.290153,19495.21883,67156.0,0.7815,35430.4,0.369,531.0,0.243062106,0.475485249,3,621.5780402,116.6302585,30.6592336
安顺市,贵州省,2017,321.5397761,627.8873514,43862.82884,81266.0,0.4675,34536.9,0.498733333,301.0,0.150812624,0.453987555,3,757.233071,105.9437773,26.254911
安阳市,河南省,2017,458.3590185,813.0543226,36797.79456,108330.0,0.7785,42092.0,0.4586,624.0,0.233901461,0.414565714,3,1229.436832,114.5096506,35.9901282
鞍山市,辽宁省,2017,212.6396349,590.6658636,73549.96946,137791.0,0.7475,42973.2,0.526633333,344.0,0.525467313,0.353336551,1,1005.254039,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2017,230.1467481,614.2853139,36024.55966,60033.0,0.9015,56371.4,0.369933333,174.0,0.407462745,0.445140002,1,452.2205986,107.494851,41.569576
巴中市,四川省,2017,715.9104952,530.7689856,24380.6316,49060.0,0.2205,17625.5,0.309933333,376.0,0.254147821,0.31780787,3,1073.70895,107.062301,32.040248
白城市,吉林省,2017,206.6505244,372.9384493,18775.15725,50408.0,0.7475,37706.8,0.4621,191.0,0.422090402,0.259178815,1,277.4530233,123.1327161,45.4086001
白山市,吉林省,2017,206.6505244,146.6017348,7380.495709,49779.0,0.7475,56989.3,0.4186,120.0,0.750574993,0.259178815,1,109.0665085,126.4183792,41.936895
白银市,甘肃省,2017,211.7085786,242.6923971,11128.91861,33570.0,0.5455,25863.1,0.442233333,182.0,0.308923428,0.435883586,2,198.5658431,104.784953,36.536461
百色市,广西壮族自治区,2017,393.7937371,158.5273763,14659.68557,103520.0,0.4675,32980.8,0.336,418.0,0.129611613,0.414618127,4,538.2900267,106.6148824,23.9053605
蚌埠市,安徽省,2017,466.946286,1652.711884,64402.58646,76013.0,0.7815,45780.1,0.419466667,381.0,0.321305231,0.475485249,3,2053.387234,117.3825673,32.9176422
