城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2012,484.1694508,263.8851576,11491.82675,36380.0,0.769,18878.0,0.3471,306.0,0.166314863,0.321436463,2,279.2261583,109.0177837,32.7064648
安庆市,安徽省,2012,392.689956,375.1548957,14659.54477,41012.0,0.809,25592.0,0.2972,620.4,0.190156518,0.376289524,3,486.4157759,116.6302585,30.6592336
安顺市,贵州省,2012,299.8581632,278.5481317,25322.88534,40746.0,0.495,15454.0,0.4606,284.4,0.151676582,0.351364612,3,463.614904,105.9437773,26.254911
安阳市,河南省,2012,338.6012132,423.1429833,40381.04998,81053.0,0.806,30624.0,0.3055,593.0,0.22660344,0.353553881,3,1023.964249,114.5096506,35.9901282
鞍山市,辽宁省,2012,1064.241707,1082.876631,65550.15407,83017.0,0.775,69211.0,0.4165,350.4,0.510164292,0.252851081,1,2094.724929,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2012,249.172448,1003.031064,61932.05573,23200.0,0.929,48812.0,0.2254,186.7,0.356117429,0.264776007,1,744.2033148,107.494851,41.569576
巴中市,四川省,2012,1662.979096,266.0147522,11601.02631,25637.0,0.248,11823.0,0.3329,390.0,0.204945672,0.24183688,3,1009.645579,107.062301,32.040248
白城市,吉林省,2012,6475.523874,68.26859646,4221.891614,15549.0,0.775,30576.0,0.3475,200.0,0.40326638,0.207262104,1,742.203955,123.1327161,45.4086001
白山市,吉林省,2012,6475.523874,229.4366032,14188.90267,36245.0,0.775,50158.0,0.3128,127.9,0.696612009,0.207262104,1,2494.393661,126.4183792,41.936895
白银市,甘肃省,2012,322.8219823,272.1674936,10217.98122,24346.0,0.573,25274.0,0.3149,175.7,0.285151463,0.493612014,2,243.9353394,104.784953,36.536461
百色市,广西壮族自治区,2012,532.852078,131.3061296,13639.50545,27614.0,0.495,21539.0,0.27,408.6,0.125775839,0.367348659,4,596.9015587,106.6148824,23.9053605
蚌埠市,安徽省,2012,392.689956,687.3939136,26860.59002,50603.0,0.809,27999.0,0.3216,367.8,0.298575345,0.376289524,3,891.256512,117.3825673,32.9176422
包头市,内蒙古自治区,2012,249.172448,2394.414105,147842.8666,159946.0,0.929,125709.0,0.4207,223.5,0.623928573,0.264776007,1,1776.546089,109.944912,40.6174777
宝鸡市,陕西省,2012,484.1694508,550.0452194,23953.69418,59168.0,0.769,36826.0,0.2439,383.9,0.26417416,0.321436463,2,582.0221755,107.2322378,34.3609713
保定市,河北省,2012,1624.896694,1605.473324,119332.7488,67603.0,0.898,24053.0,0.3112,1172.1,0.305874311,0.296656263,2,7121.938757,115.490696,38.8579735
保山市,云南省,2012,194.8932714,461.9466327,11717.53932,25434.0,0.306,15397.0,0.367,255.6,0.113030078,0.361148467,5,267.6188369,99.1591622,25.1147115
北海市,广西壮族自治区,2012,532.852078,350.833344,36443.03066,51960.0,0.495,40418.0,0.3055,168.1,0.292124117,0.367348659,4,1594.845348,109.3729721,21.6740808
