城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2011,637.7466754,193.7235403,8398.264418,31150.0,0.8195,15477.0,0.3734,305.1,0.164128351,0.294937198,2,247.9704597,109.0177837,32.7064648
安庆市,安徽省,2011,367.6111208,331.0463105,13096.27594,37904.0,0.8,22893.0,0.298,618.7,0.187138161,0.378126869,3,444.1047745,116.6302585,30.6592336
安顺市,贵州省,2011,176.9987884,270.6555644,24732.9103,33752.0,0.5755,12468.0,0.4503,282.3,0.151179242,0.347716182,3,379.9740152,105.9437773,26.254911
安阳市,河南省,2011,272.459002,406.5823676,36691.19551,71112.0,0.825,28806.0,0.2947,590.9,0.223544255,0.318519732,3,892.0770995,114.5096506,35.9901282
鞍山市,辽宁省,2011,1182.092053,1198.987983,60577.20629,77434.0,0.8055,68224.0,0.4199,351.6,0.50742025,0.283978355,1,2242.763227,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2011,293.2151833,790.7988513,43559.11373,20317.0,0.8895,43118.0,0.2311,186.8,0.351240792,0.3264446,1,560.731056,107.494851,41.569576
巴中市,四川省,2011,943.6513971,261.7653536,9579.70799,21039.0,0.2685,10433.0,0.3439,389.4,0.197276939,0.261713896,3,538.2037404,107.062301,32.040248
白城市,吉林省,2011,273.6442341,55.27372349,3846.636783,14712.0,0.727,27374.0,0.3307,202.5,0.398487506,0.221841062,1,62.46136364,123.1327161,45.4086001
白山市,吉林省,2011,273.6442341,119.0066142,8281.968191,34045.0,0.727,41325.0,0.3117,128.5,0.691316887,0.221841062,1,134.481901,126.4183792,41.936895
白银市,甘肃省,2011,395.5199154,298.101019,11690.40033,24338.0,0.5925,20660.0,0.3139,179.4,0.272690301,0.419303848,2,309.3549078,104.784953,36.536461
百色市,广西壮族自治区,2011,211.590223,109.5254528,10712.2549,25200.0,0.4885,18867.0,0.2638,385.3,0.131685077,0.45022474,4,268.8452592,106.6148824,23.9053605
蚌埠市,安徽省,2011,367.6111208,344.1919699,13616.32156,48839.0,0.8,24574.0,0.3217,365.5,0.293771929,0.378126869,3,461.7399208,117.3825673,32.9176422
包头市,内蒙古自治区,2011,293.2151833,2664.381074,146760.5549,156113.0,0.8895,112372.0,0.4193,221.8,0.62430532,0.3264446,1,1889.230379,109.944912,40.6174777
宝鸡市,陕西省,2011,637.7466754,640.1287141,27750.7328,52482.0,0.8195,31579.0,0.2534,383.2,0.261054802,0.294937198,2,819.3790559,107.2322378,34.3609713
保定市,河北省,2011,1571.707747,1557.63414,112744.235,75263.0,0.9065,21796.0,0.3136,1160.7,0.296553028,0.327444027,2,6859.305625,115.490696,38.8579735
保山市,云南省,2011,173.0728613,273.4930157,5701.701299,19976.0,0.3605,12705.0,0.3688,254.2,0.112023446,0.36966825,5,133.5588232,99.1591622,25.1147115
北海市,广西壮族自治区,2011,211.590223,216.427507,21167.92547,45121.0,0.4885,32103.0,0.3499,167.9,0.288466825,0.45022474,4,531.2510265,109.3729721,21.6740808
北京,,2011,1002.71953,33586.35453,79631.99998,772.403076,0.8025,73492.2,0.74578,2024.0,0.87062,0.329390404,2,17174.75244,116.2,39.56
本溪市,辽宁省,2011,1182.092053,299.6359723,15138.69227,46205.0,0.8055,60552.0,0.3202,154.3,0.673130914,0.283978355,1,560.4831323,124.157425,41.176944
毕节市,贵州省,2011,176.9987884,530.3334997,48462.66845,45585.0,0.4575,11295.0,0.3544,851.7,0.271142211,0.347716182,3,744.5365099,105.215166,27.2150032
滨州市,山东省,2011,379.9035126,632.9977138,36452.88629,30881.0,0.906,48326.0,0.3671,380.7,0.255158866,0.349316658,2,766.9414048,117.9647262,37.3821206
亳州市,安徽省,2011,367.6111208,272.6472587,10785.99466,45440.0,0.8,12868.0,0.3418,604.2,0.123465409,0.378126869,3,365.7613619,115.7730968,33.8490794
沧州市,河北省,2011,1571.707747,672.6296397,48686.08887,38787.0,0.9065,36053.0,0.36,734.8,0.368798503,0.327444027,2,2962.038487,116.8511597,38.3042796
常德市,湖南省,2011,373.3779714,678.1313457,24939.308,56019.0,0.5345,31644.0,0.3463,625.7,0.234192393,0.285146154,3,760.148993,111.6928724,29.034552
常州市,江苏省,2011,2895.985472,1659.802182,88311.10504,212786.0,0.743,77485.0,0.424,362.9,0.548209038,0.467833781,3,11103.94525,119.9691539,31.8122623
朝阳市,辽宁省,2011,1182.092053,319.0225347,16118.17147,25480.0,0.8055,26927.0,0.2776,341.0,0.283049736,0.283978355,1,596.7466061,120.4390738,41.5754767
