城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2002,137.5252915,325.0724321,8021.691689,11326.8558,1.124298622,3083.0,0.50842,293.24,0.143193289,0.289206301,2,153.313798,109.0177837,32.7064648
安庆市,安徽省,2002,119.5223595,284.5771906,11186.28549,26376.19264,0.767237111,4726.0,0.3294,604.11,0.154210326,0.252920232,3,251.4619047,116.6302585,30.6592336
安顺市,贵州省,2002,151.6027823,117.4362031,11438.28312,2327.775721,1.050497704,2724.0,0.29659,249.33,0.157141138,0.274161312,3,172.8673213,105.9437773,26.254911
安阳市,河南省,2002,90.27176628,139.6306121,17116.11244,5580.964332,0.951089587,5970.0,0.3091,525.42,0.186346161,0.29882264,3,288.5048346,114.5096506,35.9901282
鞍山市,辽宁省,2002,243.0729128,374.1518984,24795.40303,51023.53494,0.996832568,20609.0,0.3755,344.7,0.505018857,0.237000062,1,413.1408114,122.8275,40.822222
巴中市,四川省,2002,133.4617584,53.02220814,2904.34687,12154.15694,0.403099541,2718.0,0.36873,353.52,0.147601267,0.265031399,3,58.52946385,107.062301,32.040248
白城市,吉林省,2002,736.1613503,292.035568,13499.42639,12543.91998,0.472978304,3675.0,0.3206,200.22,0.399360703,0.184404058,1,419.6152404,123.1327161,45.4086001
白山市,吉林省,2002,736.1613503,158.2336304,7314.394135,8756.422781,0.472978304,7551.0,0.3174,132.97,0.659998496,0.184404058,1,227.3601237,126.4183792,41.936895
白银市,甘肃省,2002,176.3630297,100.4906298,3851.149587,10230.60416,0.721426238,5468.0,0.32856,173.44,0.220422048,0.316619515,2,73.62076638,104.784953,36.536461
百色市,广西壮族自治区,2002,355.8436826,7.880536492,1314.284907,5430.748551,0.469920367,3822.0,0.3053,366.87,0.125957424,0.33021076,4,71.94825856,106.6148824,23.9053605
蚌埠市,安徽省,2002,119.5223595,251.0278427,9867.512951,30086.75076,0.767237111,5564.0,0.364,343.22,0.243517278,0.252920232,3,221.816581,117.3825673,32.9176422
包头市,内蒙古自治区,2002,148.0947111,351.2603458,11989.34966,25183.47663,0.683701378,14315.0,0.3909,208.02,0.622680511,0.197911786,1,194.0282996,109.944912,40.6174777
