城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2006,218.6838901,97.65998951,4717.531241,16217.22,0.990244,5935.0,0.4401,297.15,0.154164563,0.248777288,2,84.35870907,109.0177837,32.7064648
安庆市,安徽省,2006,163.8793487,208.7083997,10490.35971,31644.4,0.7813436,8709.0,0.3863,607.89,0.172481863,0.295883656,3,248.3706732,116.6302585,30.6592336
安顺市,贵州省,2006,85.96242788,152.8274515,12608.38167,5038.79,0.84174,4667.0,0.399,260.98,0.155299257,0.299163303,3,164.9858735,105.9437773,26.254911
安阳市,河南省,2006,165.6459482,140.6444574,24271.87208,23372.52,0.8954732,11736.0,0.2645,553.7,0.217626874,0.25478111,3,464.6374406,114.5096506,35.9901282
鞍山市,辽宁省,2006,314.0556688,254.2070651,18472.52098,57578.18,0.91258,32644.0,0.3983,348.95,0.505373263,0.299373795,1,311.8235626,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2006,159.3385116,490.2536869,23625.38217,7972.04,0.773756,16045.0,0.2907,179.41,0.340895156,0.255764164,1,305.4687361,107.494851,41.569576
巴中市,四川省,2006,168.331064,98.39260513,4189.278796,14031.23,0.343748,4705.0,0.3735,370.45,0.15786206,0.271997306,3,91.13504528,107.062301,32.040248
白城市,吉林省,2006,119.9428064,117.1702175,5836.860194,12840.58,0.5841988,9427.0,0.369,202.4,0.397875494,0.214501741,1,74.02706005,123.1327161,45.4086001
白山市,吉林省,2006,119.9428064,157.9836873,7869.992181,14160.41,0.5841988,14746.0,0.3153,129.98,0.674411448,0.214501741,1,99.81263289,126.4183792,41.936895
白银市,甘肃省,2006,180.173348,143.7690057,5913.853711,13655.21,0.6645648,10066.0,0.3327,174.54,0.244356594,0.377005029,2,111.1717091,104.784953,36.536461
