城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2004,125.6008423,257.7246181,6940.072317,13316.2362,1.05987216,4059.0,0.4759,294.97,0.150896701,0.324758643,2,120.8557392,109.0177837,32.7064648
安庆市,安徽省,2004,146.4718034,216.729598,10792.10012,28853.184,0.773452304,6483.0,0.3078,604.2,0.165557762,0.276113009,3,240.0212058,116.6302585,30.6592336
安顺市,贵州省,2004,114.134411,115.800313,9951.489603,2826.197348,0.9504536,3362.0,0.3239,256.17,0.155404614,0.233316948,3,137.1909429,105.9437773,26.254911
安阳市,河南省,2004,129.8366484,116.325918,17823.70451,13276.9292,0.924061648,8747.0,0.2624,539.98,0.213007889,0.310000057,3,342.6298086,114.5096506,35.9901282
鞍山市,辽宁省,2004,277.2929209,244.6860077,16801.03356,53621.5578,0.9561512,28900.0,0.3578,346.94,0.506542918,0.222711444,1,288.140065,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2004,140.1694829,313.4698294,15949.91948,6229.8984,0.72612784,10774.0,0.3305,177.91,0.329267607,0.201217167,1,198.7515104,107.494851,41.569576
巴中市,四川省,2004,151.9215863,142.3132013,7189.122978,12839.8983,0.37429072,4161.0,0.3716,361.09,0.161594062,0.226792654,3,137.965071,107.062301,32.040248
白城市,吉林省,2004,392.632017,146.359823,6382.293514,12571.1818,0.525496432,6809.0,0.3293,201.6,0.400198413,0.203877566,1,136.9514806,123.1327161,45.4086001
白山市,吉林省,2004,392.632017,177.916475,7758.380278,10428.7461,0.525496432,7528.0,0.3378,130.66,0.671666922,0.203877566,1,166.4795993,126.4183792,41.936895
白银市,甘肃省,2004,155.5613803,151.8245859,5399.611619,11728.5241,0.693804672,7223.0,0.3009,174.58,0.232042617,0.383016713,2,98.05755853,104.784953,36.536461
百色市,广西壮族自治区,2004,221.4862966,43.06084547,3160.511156,7353.8831,0.473167424,5564.0,0.2718,371.68,0.125565002,0.368057679,4,106.2265141,106.6148824,23.9053605
蚌埠市,安徽省,2004,146.4718034,233.0185549,11603.21247,31580.7279,0.773452304,7621.0,0.3381,346.97,0.260829467,0.276113009,3,258.0607126,117.3825673,32.9176422
包头市,内蒙古自治区,2004,140.1694829,2242.006607,114077.4056,35102.7906,0.72612784,28998.0,0.3795,210.24,0.63027968,0.201217167,1,1421.51543,109.944912,40.6174777
宝鸡市,陕西省,2004,125.6008423,573.299204,15437.94289,31613.7764,1.05987216,8700.0,0.3442,369.2,0.243147346,0.324758643,2,268.8392735,107.2322378,34.3609713
保定市,河北省,2004,192.6673961,575.1178464,58951.10187,32539.6528,0.958458144,10261.0,0.3499,1088.28,0.234976293,0.246122198,2,966.9724397,115.490696,38.8579735
保山市,云南省,2004,108.4460634,63.61821207,3075.657735,9693.2299,0.618816352,4084.0,0.424,241.13,0.10533737,0.288886099,5,65.40255386,99.1591622,25.1147115
北海市,广西壮族自治区,2004,221.4862966,79.25878507,5817.309708,18845.3846,0.473167424,10989.0,0.4086,147.87,0.298573071,0.368057679,4,195.5229712,109.3729721,21.6740808
北京,,2004,928.0268604,13800.76975,41697.48159,564.49822,0.935207008,34834.52,0.618012978,1552.72,0.839730833,0.347872113,2,9368.060709,116.2,39.56
本溪市,辽宁省,2004,277.2929209,118.4710675,8134.655509,42967.7499,0.9561512,18752.0,0.3453,156.56,0.668497701,0.222711444,1,139.5104747,124.157425,41.176944
滨州市,山东省,2004,200.4047536,109.6939028,4852.882568,23170.6135,1.0005756,14134.0,0.267,368.9,0.254079696,0.241803105,2,105.9020037,117.9647262,37.3821206
亳州市,安徽省,2004,146.4718034,66.44669729,3308.728557,13385.116,0.773452304,4299.0,0.339,545.67,0.099052541,0.276113009,3,73.58762509,115.7730968,33.8490794
沧州市,河北省,2004,192.6673961,346.8092843,35548.86981,15778.5705,0.958458144,11659.0,0.3383,679.36,0.222503533,0.246122198,2,583.1066135,116.8511597,38.3042796
常德市,湖南省,2004,418.4445539,304.1520277,16372.73912,18510.5506,0.626832576,11014.0,0.3413,601.05,0.237883704,0.270753443,3,788.5483449,111.6928724,29.034552
常州市,江苏省,2004,655.5247734,571.6205377,26316.12629,140557.4137,0.7254244,31665.0,0.365,348.97,0.458090953,0.405798863,3,1610.457595,119.9691539,31.8122623
巢湖市,安徽省,2004,146.4718034,156.0242374,7769.262746,18391.26001,0.773241172,6495.0,0.3344,453.96,0.182174641,0.276113009,3,172.7919303,117.7327935,31.7277526
朝阳市,辽宁省,2004,277.2929209,108.1798538,7428.023251,14927.921,0.9561512,4538.0,0.3321,336.8,0.265498812,0.222711444,1,127.3916331,120.4390738,41.5754767
