城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2013,462.3560757,306.9766579,12633.14323,43205.0,0.7635,19628.0,0.3186,308.3,0.167690232,0.327058724,2,311.7832088,109.0177837,32.7064648
安庆市,安徽省,2013,401.2938459,548.6157436,20962.92973,44640.0,0.8035,22801.0,0.3261,621.7,0.193472243,0.367336134,3,618.3655342,116.6302585,30.6592336
安顺市,贵州省,2013,411.4673913,443.1192444,35783.4674,44267.0,0.4895,15006.0,0.4747,285.6,0.152655833,0.417615899,3,823.96537,105.9437773,26.254911
安阳市,河南省,2013,296.1823589,431.1325147,33248.8814,95934.0,0.8005,27968.0,0.3109,602.0,0.227185252,0.402631235,3,850.8134036,114.5096506,35.9901282
鞍山市,辽宁省,2013,1136.945977,1137.797542,67884.49181,88273.0,0.7695,74950.0,0.4191,349.8,0.512268652,0.261820076,1,2215.252163,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2013,243.9620064,714.4243147,41675.74097,26699.0,0.9235,45622.0,0.2433,183.2,0.367937823,0.357283242,1,523.9442151,107.494851,41.569576
巴中市,四川省,2013,810.7244789,260.8529488,12018.17492,36137.0,0.2425,10665.0,0.3497,390.2,0.210429087,0.290908752,3,635.651011,107.062301,32.040248
白城市,吉林省,2013,1183.333588,124.9986098,5601.045145,23605.0,0.7695,34791.0,0.3593,199.1,0.404969165,0.232383357,1,219.535248,123.1327161,45.4086001
白山市,吉林省,2013,1183.333588,385.8726017,17290.5112,25462.0,0.7695,53043.0,0.3177,127.1,0.701336198,0.232383357,1,677.7086359,126.4183792,41.936895
白银市,甘肃省,2013,334.5332397,245.9175005,9186.262453,28541.0,0.5675,26175.0,0.3386,177.0,0.28997045,0.489848276,2,235.8891491,104.784953,36.536461
百色市,广西壮族自治区,2013,350.5592516,113.205546,11291.09181,29983.0,0.4895,19511.0,0.2764,411.7,0.126211504,0.45464637,4,381.6397969,106.6148824,23.9053605
蚌埠市,安徽省,2013,401.2938459,1191.437265,45525.51756,63671.0,0.8035,27462.0,0.3173,366.6,0.305922503,0.367336134,3,1342.913961,117.3825673,32.9176422
包头市,内蒙古自治区,2013,243.9620064,2530.489016,147615.3633,172068.0,0.9235,155690.0,0.4552,225.0,0.624269195,0.357283242,1,1855.809011,109.944912,40.6174777
宝鸡市,陕西省,2013,462.3560757,493.7266538,20318.54661,60561.0,0.7635,40049.0,0.2399,385.6,0.267329015,0.327058724,2,501.4572817,107.2322378,34.3609713
保定市,河北省,2013,751.6738663,1199.84013,102656.9778,122607.0,0.8925,24951.0,0.3154,1163.9,0.321086583,0.355049117,2,3164.143501,115.490696,38.8579735
保山市,云南省,2013,785.9729064,535.389086,14041.15474,30150.0,0.3005,17500.0,0.369,256.9,0.11430911,0.420807271,5,847.5479086,99.1591622,25.1147115
北海市,广西壮族自治区,2013,350.5592516,337.4766128,33659.82987,56194.0,0.4895,43491.0,0.2973,169.4,0.293302604,0.45464637,4,1137.704914,109.3729721,21.6740808
北京,,2013,816.682785,45375.8811,87455.63167,949.6344,0.7705,85183.2,0.80745,2040.0,0.820705,0.438314089,2,16437.34289,116.2,39.56
