城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2019,705.0097499,555.4456752,31437.06166,89213.0,0.704,44241.0,0.4151,304.0,0.186568169,0.444018959,2,921.8327784,109.0177837,32.7064648
安庆市,安徽省,2019,979.4799279,634.7455255,25748.39074,87379.0,0.7695,50574.0,0.4598,529.0,0.252320102,0.551254374,3,1351.905069,116.6302585,30.6592336
安顺市,贵州省,2019,406.8368525,558.4588716,33913.77213,85766.0,0.424,39177.0,0.5134,307.0,0.150779441,0.398983441,3,732.0802566,105.9437773,26.254911
安阳市,河南省,2019,408.4317813,662.9420919,30762.47833,138918.0,0.7645,43003.0,0.4634,629.0,0.239394003,0.542412621,3,834.8626373,114.5096506,35.9901282
鞍山市,辽宁省,2019,872.7995152,262.4449691,51104.00102,158806.0,0.816,49123.0,0.5127,340.0,0.533942948,0.298963819,1,1334.171287,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2019,124.4901552,444.2505554,29738.34494,63751.0,0.8765,51722.0,0.4452,174.0,0.417648764,0.456111734,1,323.8613351,107.494851,41.569576
巴中市,四川省,2019,941.3469595,672.8352975,26212.19217,53809.0,0.11,22716.0,0.5148,366.0,0.278702504,0.42534133,3,1396.301316,107.062301,32.040248
白城市,吉林省,2019,700.698469,184.0986645,8258.784748,53065.0,0.7805,25980.0,0.5833,189.0,0.426488317,0.326487529,1,224.425739,123.1327161,45.4086001
白山市,吉林省,2019,700.698469,114.2747066,5126.436994,53595.0,0.7805,43744.0,0.6152,117.0,0.773563285,0.326487529,1,139.3067438,126.4183792,41.936895
白银市,甘肃省,2019,205.6150838,295.6735082,17604.71526,34438.0,0.4755,27990.0,0.4497,181.0,0.324100862,0.511650509,2,280.4068032,104.784953,36.536461
百色市,广西壮族自治区,2019,326.700772,196.5715812,11700.28676,133544.0,0.46,34194.0,0.4008,423.0,0.130753621,0.484989474,4,365.6682109,106.6148824,23.9053605
蚌埠市,安徽省,2019,979.4799279,1814.764045,73615.72765,93724.0,0.7695,60469.0,0.475,386.0,0.330260561,0.551254374,3,3865.153219,117.3825673,32.9176422
包头市,内蒙古自治区,2019,124.4901552,2771.315312,185513.1742,129993.0,0.8765,93835.0,0.5717,225.0,0.650189937,0.456111734,1,2020.305582,109.944912,40.6174777
宝鸡市,陕西省,2019,705.0097499,929.9743378,52634.59939,93083.0,0.704,59050.0,0.3468,377.0,0.297179624,0.444018959,2,1543.410753,107.2322378,34.3609713
保定市,河北省,2019,917.5653718,3843.586774,266621.2403,337083.0,0.9975,31856.0,0.533,1215.0,0.367523364,0.360574675,2,8092.267422,115.490696,38.8579735
保山市,云南省,2019,365.9643663,1467.63124,34709.29255,85480.0,0.119,36548.0,0.4044,264.0,0.121107939,0.433003912,5,1115.830695,99.1591622,25.1147115
北海市,广西壮族自治区,2019,326.700772,364.6112203,21702.30207,153943.0,0.46,76955.0,0.4084,180.0,0.292608363,0.484989474,4,678.2604676,109.3729721,21.6740808
北京,,2019,898.0623773,86195.77696,103988.3249,1248.044116,0.616,169148.66,0.89345,2343.3,0.89097,0.515849056,2,20194.25067,116.2,39.56
本溪市,辽宁省,2019,872.7995152,98.14454758,19110.9743,78960.0,0.816,46673.0,0.4559,145.0,0.707737164,0.298963819,1,498.9298816,124.157425,41.176944
毕节市,贵州省,2019,406.8368525,1234.021085,74938.92927,85879.462,0.424,28378.0,0.4952,938.0,0.272961043,0.398983441,3,1617.670555,105.215166,27.2150032
滨州市,山东省,2019,366.4831447,581.4969991,44516.05775,137230.0,0.8515,62639.0,0.4827,398.0,0.279319556,0.461633478,2,872.196904,117.9647262,37.3821206
亳州市,安徽省,2019,979.4799279,1153.707155,46800.01895,93244.0,0.7695,33314.0,0.5083,663.0,0.149005955,0.551254374,3,2457.209209,115.7730968,33.8490794
沧州市,河北省,2019,917.5653718,1892.494016,131278.1866,166796.0,0.9975,47663.0,0.5198,787.0,0.524922085,0.360574675,2,3984.446969,116.8511597,38.3042796
常德市,湖南省,2019,724.714044,1993.965248,77224.99128,119235.0,0.493,62493.0,0.4872,604.0,0.255399877,0.335841952,3,2740.398174,111.6928724,29.034552
常州市,江苏省,2019,985.8365172,1966.606386,102555.3458,235765.0,0.689,156390.0,0.5019,385.0,0.63887295,0.616151994,3,4389.772446,119.9691539,31.8122623
朝阳市,辽宁省,2019,872.7995152,166.8645979,32492.33016,69344.0,0.816,28761.0,0.4751,335.0,0.309413504,0.298963819,1,848.2767117,120.4390738,41.5754767
潮州市,广东省,2019,326.5505433,110.7367626,10343.7949,91092.114,0.448,40664.0,0.4196,276.0,0.303959658,0.669524102,4,225.0911348,116.6204223,23.656593
郴州市,湖南省,2019,724.714044,1149.829406,44532.15319,115682.0,0.493,50760.0,0.5184,534.0,0.545998029,0.335841952,3,1580.263452,113.0094337,25.7733598
成都市,四川省,2019,941.3469595,12220.88665,476099.0252,1063578.0,0.11,103386.0,0.6557,1500.0,0.639468914,0.42534133,3,25361.39255,104.063315,30.659867
承德市,河北省,2019,917.5653718,1078.383953,74805.14531,77878.0,0.9975,41080.0,0.4653,383.0,0.358207242,0.360574675,2,2270.423916,117.9567031,40.9507147
池州市,安徽省,2019,979.4799279,222.0061857,9005.659411,35970.0,0.7695,56217.0,0.4573,162.0,0.213641501,0.551254374,3,472.8371854,117.4859885,30.6671088
赤峰市,内蒙古自治区,2019,124.4901552,1650.441353,110481.3346,129025.0,0.8765,39488.0,0.5131,460.0,0.289836531,0.456111734,1,1203.181704,118.9759212,43.2564906
