城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2018,830.3122996,449.0562672,25646.46205,86597.0,0.767,42544.0,0.3384,304.0,0.183854173,0.358406026,2,872.0753979,109.0177837,32.7064648
安庆市,安徽省,2018,471.7525614,596.6991135,23900.95657,80685.0,0.776,41088.0,0.397,528.0,0.248584919,0.514194128,3,758.8807346,116.6302585,30.6592336
安顺市,贵州省,2018,430.3536712,492.8013205,30783.23405,73300.0,0.428,36164.0,0.5032,304.0,0.150791496,0.453748435,3,665.8138427,105.9437773,26.254911
安阳市,河南省,2018,539.9810591,944.2441076,43921.31464,128347.0,0.791,46450.0,0.457,627.0,0.236442113,0.476925777,3,1474.845356,114.5096506,35.9901282
鞍山市,辽宁省,2018,185.5988457,303.9350986,57887.10362,134019.7,0.722,30920.56,0.5319,342.0,0.529666577,0.307019663,1,751.5338909,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2018,429.8089132,396.8521641,26928.02945,67359.0,0.753,48193.0,0.3927,174.0,0.412496459,0.442594759,1,384.1961587,107.494851,41.569576
巴中市,四川省,2018,815.7023197,620.0104136,24902.11238,54852.0,0.103,19458.0,0.358,368.0,0.268997632,0.422909361,3,1211.824215,107.062301,32.040248
白城市,吉林省,2018,234.1486434,320.2627062,13667.90979,52196.0,0.722,31849.0,0.4772,190.0,0.424299831,0.319755917,1,217.6947495,123.1327161,45.4086001
白山市,吉林省,2018,234.1486434,78.28920758,3341.162759,52472.0,0.722,56031.0,0.4686,118.0,0.765413412,0.319755917,1,53.21615381,126.4183792,41.936895
白银市,甘肃省,2018,218.663053,204.2456436,11748.84449,32540.0,0.491,29542.0,0.4469,182.0,0.315631664,0.545421863,2,197.4341119,104.784953,36.536461
百色市,广西壮族自治区,2018,316.6404059,165.4089224,11545.45454,119281.0,0.394,32170.0,0.3553,421.0,0.130018464,0.408064943,4,360.2303978,106.6148824,23.9053605
蚌埠市,安徽省,2018,471.7525614,1699.007895,68054.25546,87159.0,0.776,50662.0,0.4342,384.0,0.325499873,0.514194128,3,2160.79483,117.3825673,32.9176422
包头市,内蒙古自治区,2018,429.8089132,3039.455631,206239.3963,172643.0,0.753,102379.0,0.5582,224.0,0.648762041,0.442594759,1,2942.524405,109.944912,40.6174777
宝鸡市,陕西省,2018,830.3122996,697.5938576,39840.91906,109809.0,0.767,59988.0,0.2948,378.0,0.292388026,0.358406026,2,1354.739896,107.2322378,34.3609713
保定市,河北省,2018,220.2053134,3302.550879,207738.803,321425.0,0.903,31057.0,0.4627,1208.0,0.35890351,0.418403681,2,3110.972142,115.490696,38.8579735
保山市,云南省,2018,322.8612845,633.7720612,15906.17408,74356.0,0.092,28168.0,0.3909,264.0,0.119437109,0.417869765,5,483.7125061,99.1591622,25.1147115
北海市,广西壮族自治区,2018,316.6404059,368.2271041,25702.05542,134575.0,0.394,72581.0,0.3535,178.0,0.292864499,0.408064943,4,801.9313241,109.3729721,21.6740808
北京,,2018,806.1130893,72688.993,101874.3025,1085.261884,0.617,133200.6798,0.866486,2367.36,0.862191,0.436820218,2,19054.26663,116.2,39.56
本溪市,辽宁省,2018,185.5988457,96.6170582,18401.56562,76573.0,0.722,48920.0,0.4846,146.0,0.703920982,0.307019663,1,238.9029567,124.157425,41.176944
毕节市,贵州省,2018,430.3536712,988.0313034,61718.17647,79947.14,0.428,28794.0,0.4214,930.0,0.271934748,0.453748435,3,1334.909002,105.215166,27.2150032
滨州市,山东省,2018,325.5130506,512.0057358,41362.95959,128756.0,0.961,67405.0,0.4626,397.0,0.275825676,0.52022935,2,780.3209698,117.9647262,37.3821206
亳州市,安徽省,2018,471.7525614,1018.244098,40786.06356,87751.0,0.776,24547.0,0.4463,657.0,0.14573698,0.514194128,3,1295.0008,115.7730968,33.8490794
沧州市,河北省,2018,220.2053134,1330.348989,83682.31613,160059.0,0.903,48562.0,0.4952,783.0,0.504814541,0.418403681,2,1253.176347,116.8511597,38.3042796
常德市,湖南省,2018,668.4363963,1832.064054,70228.54137,112647.0,0.499,58160.0,0.5188,605.0,0.253379693,0.360305061,3,2433.023254,111.6928724,29.034552
常州市,江苏省,2018,1018.213295,681.686266,71311.97553,231879.0,0.683,149277.0,0.515,382.0,0.627999724,0.643786336,3,3198.615681,119.9691539,31.8122623
朝阳市,辽宁省,2018,185.5988457,171.0695867,32581.70228,65893.0,0.722,28266.0,0.5039,336.0,0.305807307,0.307019663,1,423.0001495,120.4390738,41.5754767
潮州市,广东省,2018,262.4355404,122.6786202,11117.21555,81072.0,0.451,40219.0,0.4429,276.0,0.300802496,0.674952405,4,212.7455688,116.6204223,23.656593
郴州市,湖南省,2018,668.4363963,1035.848914,39707.21338,107013.0,0.499,50482.0,0.4652,535.0,0.528499211,0.360305061,3,1375.631212,113.0094337,25.7733598
成都市,四川省,2018,815.7023197,11261.41422,452303.6972,1003850.0,0.103,94782.0,0.5412,1476.0,0.628576557,0.422909361,3,22010.68586,104.063315,30.659867
承德市,河北省,2018,220.2053134,802.7978629,50498.016,74296.0,0.903,41476.0,0.4568,382.0,0.349938522,0.418403681,2,756.2281032,117.9567031,40.9507147
池州市,安徽省,2018,471.7525614,220.1026513,8816.275724,32532.0,0.776,46865.0,0.4677,162.0,0.209838697,0.514194128,3,279.92611,117.4859885,30.6671088
赤峰市,内蒙古自治区,2018,429.8089132,1320.261994,89585.13291,120425.0,0.753,35819.0,0.495,459.0,0.285332164,0.442594759,1,1278.157542,118.9759212,43.2564906
崇左市,广西壮族自治区,2018,316.6404059,108.7466401,7590.457466,64330.0,0.394,48564.0,0.3713,252.0,0.186804202,0.408064943,4,236.8303043,107.328244,22.4910206
滁州市,安徽省,2018,471.7525614,1301.226361,52121.00039,97781.0,0.776,43999.0,0.3613,454.0,0.247874048,0.514194128,3,1654.897073,118.3139455,32.3027377
达州市,四川省,2018,815.7023197,514.4087708,20660.72559,57229.0,0.103,29627.0,0.4497,666.0,0.250246531,0.422909361,3,1005.423443,107.650683,31.345115
大连市,辽宁省,2018,185.5988457,1542.704233,293821.5436,362269.0,0.722,109550.0,0.5196,595.0,0.741135584,0.307019663,1,3814.612134,121.6098013,38.9130495
大庆市,黑龙江省,2018,118.9952373,179.7711534,16004.69469,170067.0,0.663,102639.0,0.3892,273.0,0.608628818,0.246700438,1,246.1896046,124.5598093,46.3240228
大同市,山西省,2018,293.9513032,1460.352399,84558.35848,133504.0,0.74,36877.0,0.584,318.0,0.564975475,0.353921197,2,1414.843683,113.2952665,40.0923194
丹东市,辽宁省,2018,185.5988457,173.5430175,33052.78885,90648.0,0.722,34193.0,0.5275,234.0,0.447794069,0.307019663,1,429.1161494,124.3821748,40.1237658
儋州市,海南省,2018,167.0438494,328.6005587,12412.41625,13402.0,0.515,35569.0,0.4861,97.0,12.47921642,0.51689181,4,214.4186283,109.404444,19.568889
德阳市,四川省,2018,815.7023197,475.4826045,19097.29416,132226.0,0.103,62569.0,0.4063,387.0,0.306329045,0.422909361,3,929.3413812,104.39013,31.1244028
德州市,山东省,2018,325.5130506,923.8071593,74630.80103,157053.0,0.961,58252.0,0.4282,598.0,0.456565322,0.52022935,2,1407.925826,116.3534091,37.4363704
定西市,甘肃省,2018,218.663053,382.7019184,22014.2043,24092.0,0.491,12656.0,0.5955,304.0,0.124737641,0.545421863,2,369.9389228,104.59362,35.1773165
东莞市,广东省,2018,262.4355404,1008.106681,91355.27648,483904.0,0.451,98939.0,0.5105,232.0,0.468098565,0.674952405,4,1748.228247,113.7452332,23.0183568
东营市,山东省,2018,325.5130506,516.0299223,41688.05803,68972.0,0.961,191942.0,0.3426,197.0,0.355308145,0.52022935,2,786.4540205,118.6689349,37.4334738
鄂尔多斯市,内蒙古自治区,2018,429.8089132,906.1594068,61486.59223,98069.0,0.753,181486.0,0.4455,162.0,0.324375356,0.442594759,1,877.2610931,108.8134284,39.4602947
鄂州市,湖北省,2018,1080.568683,118.3550028,5970.940003,51000.0,0.357,93317.0,0.3854,111.0,0.541605212,0.406951639,3,286.1979307,114.8898988,30.3925379
防城港市,广西壮族自治区,2018,316.6404059,133.9532586,9349.865991,67396.0,0.394,73601.0,0.3676,99.0,0.509761555,0.408064943,4,291.7257119,108.0271898,21.8615
佛山市,广东省,2018,262.4355404,2763.193315,250402.3573,496069.0,0.451,127691.0,0.4204,437.0,0.531263746,0.674952405,4,4791.846635,113.1159558,23.0239788
