城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2008,469.7584058,145.9178189,5280.170103,20337.0,0.9206,8802.0,0.4017,301.87,0.157882532,0.261304608,2,139.9657517,109.0177837,32.7064648
安庆市,安徽省,2008,210.1742918,330.7063687,15274.30929,33600.0,0.78924,12595.0,0.3852,613.89,0.177442213,0.351069296,3,399.8394164,116.6302585,30.6592336
安顺市,贵州省,2008,173.7124799,177.2933671,14311.01716,11556.0,0.733,6617.0,0.4008,270.3,0.152941176,0.268583113,3,218.904966,105.9437773,26.254911
安阳市,河南省,2008,229.9455176,206.7061059,31358.5305,34736.0,0.86688,19924.0,0.2371,567.37,0.220138534,0.306459433,3,692.6310565,114.5096506,35.9901282
鞍山市,辽宁省,2008,367.957521,643.7668605,45142.34423,62471.0,0.869,45830.0,0.408,351.42,0.504154573,0.26402439,1,761.6433111,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2008,461.971095,571.2062484,26677.28181,10933.0,0.8214,25237.0,0.266,185.0,0.339405405,0.260705984,1,462.1020311,107.494851,41.569576
巴中市,四川省,2008,206.4639426,167.91811,7429.602622,17000.0,0.3132,6806.0,0.344,398.57,0.17474973,0.278404883,3,159.0510892,107.062301,32.040248
白城市,吉林省,2008,221.3304738,68.47548273,5811.67007,14043.0,0.64292,14327.0,0.3877,202.9,0.397930015,0.202542057,1,85.3457557,123.1327161,45.4086001
白山市,吉林省,2008,221.3304738,162.2132043,13767.40385,17013.0,0.64292,23159.0,0.3207,129.68,0.682988896,0.202542057,1,202.1775963,126.4183792,41.936895
白银市,甘肃省,2008,379.6120522,188.7032457,8411.634827,15892.0,0.63532,13954.0,0.312,178.06,0.254240144,0.438731535,2,220.7985137,104.784953,36.536461
百色市,广西壮族自治区,2008,108.88412,83.38173946,8555.927363,13384.0,0.48244,10037.0,0.2656,392.37,0.124933099,0.312589429,4,148.8683579,106.6148824,23.9053605
蚌埠市,安徽省,2008,210.1742918,210.7162109,9732.333215,38510.0,0.78924,13632.0,0.398,358.31,0.279813569,0.351069296,3,254.7657219,117.3825673,32.9176422
包头市,内蒙古自治区,2008,461.971095,2474.168434,115552.1123,73414.0,0.8214,70004.0,0.4,217.76,0.62261205,0.260705984,1,2001.5857,109.944912,40.6174777
宝鸡市,陕西省,2008,469.7584058,844.1785748,30547.37595,38535.0,0.9206,18992.0,0.2873,377.95,0.252017463,0.261304608,2,809.7440714,107.2322378,34.3609713
