x1,x2,x3,x4,x5,x6,x7,x8,y
0.694,1227,0.4907 ,12945,0.3205,0.0717 ,0.0207 ,57,0.9397
0.702,1229,0.4802 ,10490,0.3292,0.0721 ,0.0143 ,57,1.0703
0.523,715,0.6498 ,926,1.0584,0.0230 ,0.0858 ,43,0.5779
0.546,726,0.6453 ,1852,0.9649,0.0253 ,0.0864 ,47,0.5815
0.566,736,0.6235 ,4161,0.9172,0.0269 ,0.0848 ,50,0.4982
0.584,742,0.6047 ,5153,0.9304,0.0374 ,0.0795 ,53,0.5784
0.601,746,0.5914 ,7656,0.9216,0.0756 ,0.0733 ,59,1.0184
0.621,1233,0.5838 ,11933,0.9168,0.0778 ,0.0651 ,37,1.0066
0.638,1309,0.5708 ,20154,0.9107,0.0823 ,0.0585 ,39,0.8859
0.653,1366,0.5584 ,30390,0.9246,0.0848 ,0.0536 ,40,1.0005
0.668,1406,0.5378 ,41214,0.9111,0.0857 ,0.0471 ,43,0.7995
0.682,1440,0.5163 ,36280,0.9037,0.0866 ,0.0414 ,45,0.7034
0.696,1421,0.5011 ,39777,0.9785,0.0864 ,0.0290 ,48,0.7721
0.709,1448,0.4814 ,42399,0.9347,0.0847 ,0.0220 ,50,0.866
0.722,1458,0.4835 ,48403,0.9284,0.0868 ,0.0185 ,53,1.0165
0.734,1463,0.4883 ,51022,0.9211,0.0873 ,0.0173 ,54,1.0186
0.746,1468,0.4739 ,45080,0.9638,0.0878 ,0.0168 ,56,0.8458
0.757,1473,0.4651 ,54475,0.9829,0.0886 ,0.0192 ,59,0.8419
0.767,1484,0.4792 ,48628,1.0294,0.0889 ,0.0211 ,60,0.974
0.776,1491,0.4832 ,48236,1.1114,0.0892 ,0.0218 ,62,1.0022
0.784,1497,0.4681 ,34948,1.0669,0.0897 ,0.0196 ,65,1.0066
0.389,915,0.5613 ,325,0.5233,0.0072 ,0.0718 ,29,0.2646
0.412,906,0.5565 ,464,0.5176,0.0074 ,0.1000 ,30,0.267
0.432,897,0.5607 ,807,0.4891,0.0077 ,0.1000 ,32,0.2806
0.45,893,0.5615 ,1407,0.5029,0.0086 ,0.0785 ,34,0.3052
0.467,892,0.5620 ,2573,0.4885,0.0117 ,0.0483 ,35,0.3059
0.487,910,0.5532 ,5618,0.444,0.0156 ,0.0411 ,36,0.3212
0.504,924,0.5469 ,7406,0.4408,0.0176 ,0.0366 ,39,0.3442
0.519,938,0.5323 ,6684,0.5069,0.0195 ,0.0333 ,42,0.3871
0.534,948,0.5186 ,6613,0.4737,0.0214 ,0.0306 ,44,0.4017
0.548,954,0.4999 ,6946,0.4627,0.0237 ,0.0283 ,46,0.4203
0.562,959,0.5089 ,7201,0.6945,0.0256 ,0.0249 ,47,0.4554
0.575,960,0.4946 ,7608,0.7363,0.0269 ,0.0234 ,51,0.4684
0.588,961,0.4953 ,13246,0.6922,0.0282 ,0.0211 ,55,0.5887
0.6,962,0.4922 ,13161,0.6114,0.0291 ,0.0206 ,57,0.7733
0.612,965,0.4897 ,9476,0.6205,0.0301 ,0.0199 ,60,1.0095
0.623,966,0.4739 ,10027,0.5478,0.0362 ,0.0189 ,64,0.8459
