x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
616,4.41,33.32%,213,52.05%,1071,41.15%,186.73%,2.9584%,900,40.85 ,68.53%,498 ,1.4487 ,9535 ,2.678 
622,4.29,33.25%,218,53.57%,973,42.77%,195.29%,3.0204%,709,35.96 ,64.92%,452 ,1.3975 ,8902 ,2.613 
93,5.87,33.10%,225,55.55%,845,44.70%,195.03%,3.0522%,650,30.90 ,61.73%,414 ,1.3628 ,11607 ,2.747 
692,4.44,32.98%,233,57.54%,666,48.94%,205.88%,3.1747%,582,27.97 ,55.42%,372 ,1.3259 ,8262 ,2.594 
579,11.22,40.23%,81,38.74%,1985,24.25%,168.95%,1.9619%,3100,79.72 ,111.87%,1527 ,1.3770 ,11212 ,3.195 
588,11.3,39.90%,82,39.65%,1689,24.21%,172.32%,1.7624%,2664,76.23 ,106.55%,1423 ,1.3139 ,11119 ,2.970 
591,11.46,40.10%,80,38.61%,1566,23.56%,176.41%,1.6456%,2468,73.80 ,99.98%,1351 ,1.2818 ,10956 ,2.854 
598,11.74,40.55%,87,41.08%,1099,24.07%,179.97%,2.7501%,2000,72.24 ,93.86%,1220 ,1.2487 ,10908 ,2.768 
618,11.47,40.45%,94,39.90%,1372,21.23%,179.05%,2.2549%,2012,65.31 ,83.75%,1104 ,1.2848 ,10768 ,2.690 
614,10.81,40.45%,96,40.79%,1185,21.35%,179.91%,2.2989%,1863,61.20 ,86.71%,1052 ,1.2026 ,10196 ,2.582 
618,10.51,21.83%,99,42.09%,1013,23.92%,182.43%,2.3807%,1684,58.14 ,77.83%,982 ,1.1851 ,9914 ,2.689 
628,10.39,21.83%,104,43.99%,927,25.29%,182.91%,2.6890%,1536,58.62 ,74.64%,867 ,1.1511 ,9789 ,2.662 
669,10.64,21.89%,108,45.79%,851,26.60%,181.65%,2.4456%,1492,56.92 ,73.15%,762 ,1.1220 ,10134 ,2.648 
780,11.37,21.88%,111,47.24%,789,27.11%,182.68%,1.9325%,1429,54.62 ,73.48%,767 ,1.0518 ,10672 ,2.617 
882,11.64,21.90%,114,48.81%,551,28.35%,185.98%,1.9244%,1174,50.30 ,69.00%,678 ,0.9868 ,10732 ,2.428 
799,12.53,21.90%,117,49.99%,500,29.42%,188.32%,1.8774%,1068,37.86 ,64.71%,607 ,0.9319 ,11220 ,2.412 
758,12.53,21.19%,121,51.82%,474,31.16%,188.24%,1.9041%,921,37.81 ,56.13%,458 ,0.9037 ,10426 ,2.353 
879,12.89,20.75%,127,54.50%,417,34.74%,195.66%,1.9239%,618,34.01 ,48.98%,366 ,0.8857 ,10221 ,2.337 
463,13.13,43.79%,176,37.17%,1249,24.26%,194.51%,2.4614%,3398,75.03 ,94.68%,1304 ,2.1047 ,8639 ,3.033 
477,13.21,43.34%,181,38.07%,1102,25.28%,198.90%,2.2203%,2989,70.95 ,90.66%,1216 ,2.0617 ,8442 ,2.994 
485,13.26,43.40%,184,38.78%,1080,26.02%,201.14%,2.1363%,2666,68.48 ,88.51%,1110 ,1.9765 ,8165 ,2.887 
508,13.5,48.97%,201,41.46%,755,27.99%,206.99%,3.4309%,2328,62.06 ,84.27%,1012 ,2.0917 ,8045 ,2.866 
524,13.7,48.96%,233,41.70%,1298,23.72%,203.85%,3.0195%,2373,52.02 ,71.62%,825 ,2.0271 ,7899 ,2.842 
517,13.24,49.36%,236,42.43%,1102,23.97%,204.43%,2.9277%,2166,50.41 ,73.52%,747 ,1.9393 ,7379 ,2.739 
535,12.56,49.39%,243,43.63%,971,26.71%,205.26%,2.8488%,1941,46.39 ,67.34%,685 ,1.8978 ,7088 ,2.676 
553,12.7,30.17%,250,45.08%,630,27.76%,206.13%,3.2993%,1784,43.02 ,65.15%,636 ,1.8294 ,6910 ,2.797 
566,12.83,30.10%,256,46.40%,560,30.73%,203.50%,3.0234%,1587,40.80 ,65.32%,565 ,1.7613 ,7049 ,2.769 
579,12.31,30.10%,262,47.75%,507,32.92%,202.56%,2.6647%,1419,38.67 ,63.31%,535 ,1.6355 ,6866 ,2.721 
583,12.84,29.98%,268,48.97%,448,34.85%,206.94%,2.7279%,1249,33.18 ,67.28%,493 ,1.5394 ,6835 ,2.724 
593,13.29,29.47%,274,50.37%,318,36.23%,226.48%,2.4378%,855,29.79 ,57.15%,359 ,1.4498 ,6574 ,2.548 
618,13.38,29.47%,283,52.01%,255.84,35.81%,226.03%,1.8314%,710,27.57 ,49.88%,325 ,1.4024 ,6223 ,2.561 
623,12.41,29.36%,293,54.00%,309.94,37.26%,232.14%,2.2433%,592,22.22 ,44.61%,234 ,1.3303 ,5814 ,2.592 
1494,8.79,28.31%,221,32.08%,2119,17.75%,172.49%,1.2962%,3950,69.20 ,102.59%,1748 ,2.3857 ,15118 ,3.324 
1526,9.01,27.27%,226,32.88%,1927,17.28%,175.91%,1.3070%,3407,65.54 ,99.89%,1659 ,2.3558 ,15235 ,3.386 
1676,9.25,27.68%,228,33.28%,1801,16.64%,178.40%,1.2025%,3227,56.34 ,100.90%,1565 ,2.5705 ,15034 ,3.317 
1750,9.68,28.67%,233,33.73%,1201,17.01%,186.38%,2.2310%,2721,54.17 ,90.98%,1584 ,2.4923 ,14958 ,3.373 
1690,9.23,29.04%,228,33.70%,1543,15.02%,178.85%,1.7902%,2766,53.45 ,92.01%,1669 ,2.4486 ,13848 ,3.387 
