x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
749,26.12,26.32%,113,49.18%,1110,26.99%,176.57%,2.7450%,1637,44.50 ,81.02%,475 ,1.0310 ,9794 ,2.535 
699,24.41,26.33%,116,50.78%,1005.59,30.12%,176.17%,2.7088%,1506.31,47.37 ,76.68%,446 ,0.9822 ,8385 ,2.488 
715,26.35,19.96%,119,52.08%,840.05,31.09%,175.02%,3.1227%,1314.02,45.94 ,79.53%,423 ,0.9555 ,8600 ,2.477 
698,25.36,19.97%,121,53.48%,763.95,31.23%,174.89%,2.2724%,1209.4,42.03 ,75.39%,391 ,0.8910 ,8536 ,2.446 
688,26.73,19.99%,125,55.00%,665.8,32.74%,178.76%,2.4897%,1131,37.81 ,116.97%,374 ,0.8031 ,8376 ,2.523 
694,26.88,19.99%,128,56.80%,580.3,33.08%,215.83%,2.2404%,1116,29.15 ,72.20%,331 ,0.7519 ,8410 ,2.328 
801,28,20.00%,135,59.68%,505.7,34.29%,213.68%,2.2240%,1123,27.65 ,65.29%,278 ,0.6932 ,9330 ,2.259 
750,25.49,19.99%,139,61.75%,440.7,37.42%,220.17%,2.6017%,979,25.43 ,59.85%,247 ,0.6732 ,8101 ,2.210 
574,7.59,13.93%,71,50.59%,1522,31.51%,245.64%,4.9344%,2482,88.49 ,115.72%,535 ,1.3077 ,7058 ,3.213 
585,7.65,13.86%,73,51.62%,1270,33.19%,249.77%,4.5857%,2430,83.76 ,109.69%,488 ,1.2801 ,6919 ,3.121 
599,7.43,14.50%,74,52.34%,1214,32.76%,255.92%,4.5189%,2171,82.44 ,106.00%,444 ,1.2418 ,6798 ,2.978 
624,7.55,14.51%,77,53.44%,807,32.84%,260.19%,6.2746%,1986,77.25 ,125.31%,386 ,1.2102 ,6773 ,2.911 
657,7.47,14.54%,76,54.14%,909,28.39%,271.61%,5.2701%,1862,74.95 ,109.57%,350 ,1.1608 ,6638 ,2.831 
688,7.48,18.77%,77,55.14%,800,27.98%,274.78%,4.7740%,1653,72.01 ,106.48%,310 ,0.9931 ,6404 ,2.787 
741,7.94,18.79%,79,56.52%,714,28.42%,279.16%,4.9704%,1473,71.38 ,91.20%,273 ,0.9385 ,6446 ,2.695 
641,6.95,10.85%,81,58.12%,637,30.37%,279.67%,5.3945%,1326,67.41 ,93.26%,262 ,0.8581 ,6255 ,2.801 
649,6.69,10.82%,83,60.02%,567,31.19%,278.55%,4.7975%,1180,68.17 ,91.31%,241 ,0.8032 ,6048 ,2.796 
651,7.66,10.86%,85,61.62%,497,33.45%,281.42%,3.5492%,1093,63.15 ,92.73%,227 ,0.7785 ,5806 ,2.666 
652,7.17,10.82%,88,63.90%,273,36.22%,288.01%,3.6507%,645,55.62 ,109.93%,215 ,0.7788 ,5457 ,2.672 
668,7.85,10.83%,90,65.45%,223,38.91%,329.39%,3.6060%,467,46.97 ,108.69%,190 ,0.7782 ,5035 ,2.641 
695,7.76,10.72%,92,67.47%,170,42.14%,334.48%,3.8393%,423,42.06 ,77.19%,167 ,0.7904 ,4852 ,2.630 
585,7.31,10.64%,97,71.17%,138,45.91%,288.33%,3.0037%,207,38.24 ,80.31%,158 ,0.7604 ,4098 ,2.493 
469,10.81,61.68%,183,42.17%,3002,18.84%,167.25%,1.4399%,2454.00 ,67.74 ,116.34%,1751 ,1.9568 ,14982 ,3.250 
486,10.92,60.30%,190,43.22%,2766,20.17%,170.87%,1.3692%,2090.00 ,66.75 ,103.74%,1592 ,1.9306 ,15003 ,3.236 
495,10.29,60.49%,188,43.84%,2550,20.52%,174.90%,1.2853%,1890.00 ,62.09 ,99.79%,1469 ,1.8583 ,14918 ,3.064 
505,10.18,61.30%,201,44.24%,2305,19.25%,177.45%,2.4372%,248.00 ,56.81 ,65.31%,1320 ,1.8308 ,14984 ,3.077 
502,10.57,60.99%,220,44.42%,2616,17.44%,177.63%,2.0464%,260.06 ,51.22 ,87.99%,1152 ,1.7690 ,15030 ,2.984 
492,10.82,60.99%,210,42.60%,2245,17.41%,177.41%,1.9900%,234.37 ,47.24 ,84.69%,618 ,1.7001 ,14187 ,2.687 
474,10.94,61.14%,215,43.70%,1923,19.36%,178.59%,1.9587%,209.13 ,43.52 ,77.51%,261 ,1.5519 ,13195 ,2.452 
862,18.81,36.25%,222,45.20%,1569,20.71%,178.55%,2.1239%,188.69 ,41.76 ,81.04%,328 ,1.5294 ,18523 ,2.709 
895,20.15,36.02%,228,46.50%,1032,21.39%,175.63%,2.0840%,152.21 ,43.14 ,72.10%,329 ,1.5015 ,16781 ,2.750 
921,20.62,36.02%,233,47.80%,926,21.15%,175.78%,1.5272%,1150.24 ,41.90 ,78.83%,328 ,1.4157 ,15631 ,2.645 
1010,21.41,37.37%,249,49.18%,623,22.18%,179.43%,1.5730%,1390.32 ,39.89 ,77.82%,232 ,1.3962 ,14636 ,2.658 
1020,22.79,37.36%,252,53.34%,495,22.94%,198.64%,1.5506%,997.67 ,21.35 ,69.88%,340 ,1.3371 ,13719 ,2.515 
1065,25.95,36.55%,277,55.18%,229,24.61%,202.51%,1.5679%,816.41 ,33.15 ,54.92%,188 ,1.3024 ,13716 ,2.456 
1431,26.07,36.45%,303,55.96%,244,29.43%,234.48%,1.6410%,980.07 ,29.16 ,52.45%,204 ,1.2620 ,10703 ,2.558 
411,3.99,63.88%,224,52.58%,1700,25.58%,161.37%,2.3393%,3405.76 ,73.68 ,109.59%,990 ,2.0602 ,11627 ,3.311 
421,3.99,63.79%,233,54.08%,1607,25.25%,164.73%,2.1533%,3030.91 ,76.20 ,93.20%,965 ,2.0304 ,11312 ,3.302 
426,3.81,63.75%,235,54.69%,1480,26.02%,167.22%,2.0045%,2820.43 ,75.66 ,85.49%,710 ,1.9735 ,10998 ,3.171 
441,3.63,63.98%,254,56.59%,1350,25.88%,170.57%,3.1515%,2537.58 ,63.55 ,53.69%,715 ,1.9107 ,10883 ,3.027 
448,3.57,63.98%,273,56.61%,1390,22.99%,175.06%,2.6505%,2512.04 ,56.63 ,59.20%,574 ,1.8215 ,10803 ,2.858 
437,3.31,63.82%,278,56.63%,1134,23.55%,173.67%,2.8461%,2312.02 ,50.39 ,60.13%,506 ,1.6764 ,10050 ,2.730 
402,2.59,63.89%,280,56.66%,878.43,26.03%,172.63%,2.5326%,2230.62 ,47.21 ,55.84%,419 ,1.6520 ,9176 ,2.687 
396,2.25,41.88%,281,56.69%,760.19,27.75%,173.50%,2.9189%,1681.19 ,44.47 ,52.11%,399 ,1.6427 ,8762 ,2.692 
391,2.25,41.93%,246,49.50%,995.34,28.31%,171.63%,2.4539%,1311.89 ,39.63 ,47.86%,401 ,1.6050 ,9592 ,2.702 
475,2.87,42.01%,252,50.77%,853.51,28.78%,170.64%,2.2347%,1194.73 ,38.98 ,44.31%,363 ,1.5021 ,10978 ,2.679 
589,3.6,43.37%,268,52.02%,342.58,30.27%,173.03%,2.1240%,1664.14 ,37.56 ,45.41%,334 ,1.4801 ,13186 ,2.530 
615,3.71,43.43%,284,58.23%,320.15,32.08%,184.36%,2.0157%,1491.16 ,35.78 ,43.94%,274 ,1.4273 ,12720 ,2.569 
655,4.27,43.30%,298,54.53%,313.89,34.50%,187.47%,2.0375%,1239.80 ,30.74 ,34.92%,217 ,1.3820 ,12816 ,2.801 
660,4.45,42.86%,322,49.05%,223.7,37.58%,196.70%,1.7115%,918.03 ,18.26 ,25.01%,173 ,1.2989 ,12339 ,2.354 
