城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2020,598.2298474,610.4548491,33732.15917,102294.9,0.641,43378.0,0.4527,303.88,0.189394008,0.387258991,2,862.9392801,109.0177837,32.7064648
安庆市,安徽省,2020,543.114838,661.413577,27082.26784,103083.5,0.763,58684.0,0.4704,491.66,0.275971717,0.477092092,3,896.8768317,116.6302585,30.6592336
安顺市,贵州省,2020,397.3652615,655.3334778,37810.24287,104325.6,0.42,39161.0,0.515,309.204,0.151173531,0.458989928,3,815.1226945,105.9437773,26.254911
安阳市,河南省,2020,448.8695044,732.7118494,33332.43955,147888.2,0.738,42185.0,0.4578,631.92,0.241925113,0.505660858,3,926.9561505,114.5096506,35.9901282
鞍山市,辽宁省,2020,224.2447155,211.4007174,51794.68881,174332.85,0.91,52020.0,0.5302,338.78,0.537034661,0.337182184,1,707.20885,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2020,99.31159148,638.17919,44127.19898,81925.1,1.0,56614.0,0.4531,173.62,0.423572086,0.411304029,1,466.1581078,107.494851,41.569576
巴中市,四川省,2020,784.7043665,734.6699486,27284.18096,62289.2,0.117,27951.0,0.5085,362.692,0.290185646,0.404389479,3,1242.007005,107.062301,32.040248
白城市,吉林省,2020,153.5719943,188.8604867,8124.416212,64413.078,0.839,27230.0,0.5529,186.432,0.432321017,0.301565419,1,111.5511603,123.1327161,45.4086001
白山市,吉林省,2020,153.5719943,117.2304903,5043.031039,65062.1,0.839,44021.0,0.6169,114.252,0.794044837,0.301565419,1,69.24263219,126.4183792,41.936895
白银市,甘肃省,2020,349.0099487,298.3080173,19129.14233,34121.6,0.46,32700.0,0.4553,181.696,0.329595592,0.575230909,2,373.9848703,104.784953,36.536461
百色市,广西壮族自治区,2020,280.4510319,231.2361399,12160.25028,169290.6,0.526,37332.0,0.407,425.524,0.131293193,0.604050842,4,342.0537502,106.6148824,23.9053605
蚌埠市,安徽省,2020,543.114838,1891.009122,77429.33816,104347.4,0.763,63209.0,0.4767,388.46,0.33470791,0.477092092,3,2564.20843,117.3825673,32.9176422
包头市,内蒙古自治区,2020,99.31159148,3017.304111,208632.9059,119618.8,1.0,102949.0,0.5486,224.856,0.655004405,0.411304029,1,2203.990348,109.944912,40.6174777
宝鸡市,陕西省,2020,598.2298474,1022.07537,56477.24664,114964.7,0.641,67666.0,0.3562,374.584,0.303133945,0.387258991,2,1444.806255,107.2322378,34.3609713
保定市,河北省,2020,200.9150256,4229.667893,279807.5812,448139.7,1.092,34269.0,0.5415,1214.224,0.378062015,0.383795823,2,3968.192031,115.490696,38.8579735
保山市,云南省,2020,382.0567331,1582.160394,35982.74105,100799.1,0.146,43200.0,0.396,266.06,0.121817313,0.462006735,5,1186.827221,99.1591622,25.1147115
北海市,广西壮族自治区,2020,280.4510319,428.9088516,22555.4664,172432.6,0.526,83015.76,0.4573,181.816,0.292438899,0.604050842,4,634.4591343,109.3729721,21.6740808
北京,,2020,798.3701525,95681.196,106410.4325,1242.6,0.615,169835.67,0.80544,2013.88,0.84048,0.476119661,2,19565.87268,116.2,39.56
本溪市,辽宁省,2020,224.2447155,79.05591729,19369.26556,88846.3,0.91,60210.0,0.4605,143.116,0.715928767,0.337182184,1,264.469511,124.157425,41.176944
毕节市,贵州省,2020,397.3652615,1370.507873,79073.07852,91686.2996,0.42,29295.0,0.495,946.62,0.273790516,0.458989928,3,1704.67725,105.215166,27.2150032
滨州市,山东省,2020,311.2917604,615.7954135,48107.53785,165006.7,0.742,63915.0,0.4956,400.872,0.281769704,0.533477327,2,850.8642324,117.9647262,37.3821206
亳州市,安徽省,2020,543.114838,1202.17874,49224.46071,101653.0,0.763,36156.0,0.5083,670.42,0.151840996,0.477092092,3,1630.15441,115.7730968,33.8490794
沧州市,河北省,2020,200.9150256,2082.591508,137770.8386,219274.9,1.092,50713.0,0.5273,788.956,0.545676667,0.383795823,2,1953.846788,116.8511597,38.3042796
常德市,湖南省,2020,554.5743253,2064.860374,81810.85745,129761.1,0.487,70496.0,0.4643,602.128,0.257888614,0.390815517,3,2386.688356,111.6928724,29.034552
常州市,江苏省,2020,1030.498953,2486.563316,107055.8253,190192.0,0.695,147939.0,0.5157,388.96,0.648196107,0.570236832,3,4697.572308,119.9691539,31.8122623
朝阳市,辽宁省,2020,224.2447155,134.4102569,32931.47495,84374.488,0.91,30371.0,0.4795,332.74,0.314087604,0.337182184,1,449.6490096,120.4390738,41.5754767
潮州市,广东省,2020,326.3559755,108.9038408,10400.67596,85338.1792,0.445,42605.0,0.4294,277.48,0.305345563,0.606767208,4,230.0505805,116.6204223,23.656593
郴州市,湖南省,2020,554.5743253,1190.711413,47176.61441,146883.5,0.487,53581.0,0.5002,536.692,0.559412878,0.390815517,3,1376.295027,113.0094337,25.7733598
成都市,四川省,2020,784.7043665,13344.00588,495569.843,1148154.3,0.117,85679.0,0.6572,1593.88,0.620450181,0.404389479,3,22558.90391,104.063315,30.659867
承德市,河北省,2020,200.9150256,1186.705609,78504.79859,95324.4,1.092,46119.0,0.4619,382.16,0.367709316,0.383795823,2,1113.344088,117.9567031,40.9507147
池州市,安徽省,2020,543.114838,231.3335022,9472.191205,44436.8,0.763,64843.0,0.458,162.156,0.217174178,0.477092092,3,313.6882364,117.4859885,30.6671088
赤峰市,内蒙古自治区,2020,99.31159148,2719.57635,188046.3804,154891.9,1.0,43595.0,0.4918,458.148,0.296181723,0.411304029,1,1986.515049,118.9759212,43.2564906
崇左市,广西壮族自治区,2020,280.4510319,174.0375078,9152.287591,87277.1,0.526,38732.0,0.4895,252.98,0.191151234,0.604050842,4,257.443245,107.328244,22.4910206
滁州市,安徽省,2020,543.114838,1360.151121,55692.8044,131233.4,0.763,76087.0,0.4228,456.776,0.252947287,0.477092092,3,1844.364964,118.3139455,32.3027377
达州市,四川省,2020,784.7043665,609.5392221,22637.0746,57972.2,0.117,38068.0,0.4738,653.08,0.269128631,0.404389479,3,1030.465429,107.650683,31.345115
大连市,辽宁省,2020,224.2447155,1160.71717,284384.0142,385313.2,0.91,94685.0,0.5343,598.676,0.767932189,0.337182184,1,3883.002219,121.6098013,38.9130495
大庆市,黑龙江省,2020,202.8955817,216.7394751,67792.95823,172332.4,0.814,84784.0,0.4268,270.908,0.635086575,0.289733172,1,819.6093767,124.5598093,46.3240228
大同市,山西省,2020,306.7976243,1196.16627,71283.43095,156044.4,0.841,43982.0,0.5788,318.712,0.584354322,0.319532013,2,1197.215165,113.2952665,40.0923194
