城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
天水市,甘肃省,2010,168.391796,578.8249678,24378.8807,42746.0,0.612,8758.0,0.4223,366.73,0.290219508,0.43754724,2,406.6699352,105.7062921,34.5797531
铁岭市,辽宁省,2010,656.3906884,779.6689727,41443.64135,24832.0,0.836,26556.0,0.2755,305.15,0.327798132,0.238490002,1,1019.21417,124.2858328,42.6345121
通化市,吉林省,2010,193.9774982,567.0820112,42008.35819,22433.0,0.679,27690.0,0.375,226.12,0.464168583,0.2389362,1,587.5716913,125.9339857,41.7260568
通辽市,内蒙古自治区,2010,290.8017674,1256.006572,48200.24734,31096.0,0.85,38157.0,0.2623,318.7,0.429191716,0.259936923,1,643.4391974,122.2601035,43.6151762
铜川市,陕西省,2010,378.8426325,154.6925466,6238.254209,18917.0,0.87,22508.0,0.3039,85.44,0.478338015,0.363275138,2,134.1307402,108.9403845,34.8972729
铜陵市,安徽省,2010,319.9925166,289.4184211,12052.54513,22066.0,0.791,64496.0,0.2519,74.01,0.62902851,0.417003345,3,384.306551,117.6141351,30.9057603
威海市,山东省,2010,382.8736244,1888.916157,114719.7277,56670.0,0.924,76778.0,0.3619,253.61,0.518072347,0.331853926,2,2372.375323,122.1152599,37.5120997
潍坊市,山东省,2010,382.8736244,2573.854452,156318.1514,85039.0,0.924,34273.0,0.3365,873.78,0.526101376,0.331853926,2,3232.620338,119.1557515,36.7070287
渭南市,陕西省,2010,378.8426325,458.9333995,18507.31192,28610.3,0.87,14950.0,0.3468,560.06,0.376033282,0.363275138,2,397.9317554,109.4643291,34.5169112
温州市,浙江省,2010,1615.005661,2325.479476,72521.64255,208993.0,0.682,37359.0,0.4437,786.8,0.219694459,0.485890614,3,4272.368743,120.695345,27.9963899
乌海市,内蒙古自治区,2010,290.8017674,541.1917703,20768.66297,19946.0,0.85,76653.0,0.2733,53.0,0.869381132,0.259936923,1,277.2469556,106.900469,39.4857837
乌兰察布市,内蒙古自治区,2010,290.8017674,761.504791,29223.3497,27300.0,0.85,26604.0,0.3117,287.02,0.264474253,0.259936923,1,390.1110412,113.1315646,40.9902685
乌鲁木齐市,新疆维吾尔自治区,2010,189.0346013,4598.813255,323108.9446,131970.0,0.764,43039.0,0.5365,243.03,0.79450932,0.258118569,7,4803.815401,87.6139038,43.8244074
无锡市,江苏省,2010,893.3993105,1924.333778,121128.9026,253527.0,0.736,92166.0,0.428,466.56,0.750826903,0.447119687,3,5492.073241,120.2952752,31.5776626
芜湖市,安徽省,2010,319.9925166,1149.641413,47875.6845,63711.0,0.791,48306.0,0.3038,229.5,0.561586057,0.417003345,3,1526.560488,118.2141777,31.1800568
吴忠市,宁夏回族自治区,2010,329.2506938,446.101704,10616.75969,9900.0,0.818,15685.0,0.3171,138.35,0.306249368,0.415716446,7,208.9257207,106.5151923,37.4922984
梧州市,广西壮族自治区,2010,192.4587476,156.941831,15309.63913,26708.0,0.482,18567.0,0.2729,326.3,0.196286853,0.336729399,4,349.2127495,111.0139268,23.5715402
