城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
安康市,陕西省,2015,570.8337652,322.2716006,14508.46561,51940.0,0.7525,29193.0,0.3232,304.8,0.175158368,0.350504894,2,427.1574552,109.0177837,32.7064648
安庆市,安徽省,2015,343.9123395,424.1758118,15884.163,39287.0,0.7925,31101.0,0.3653,622.1,0.200335585,0.447582853,3,445.4217435,116.6302585,30.6592336
安顺市,贵州省,2015,644.7900108,383.6453323,31257.98528,33476.0,0.4785,27065.0,0.4872,296.49,0.150026048,0.413966526,3,792.8934307,105.9437773,26.254911
安阳市,河南省,2015,334.531679,802.3489494,45008.63076,95252.0,0.7895,36828.0,0.3859,617.45,0.228913203,0.411990279,3,1186.575716,114.5096506,35.9901282
鞍山市,辽宁省,2015,442.6222535,597.4898474,60792.24776,93728.0,0.7585,64710.0,0.4697,346.05,0.520048598,0.285487719,1,1118.388962,122.8275,40.822222
巴彦淖尔市,内蒙古自治区,2015,244.0242868,334.0013759,25438.24101,29561.0,0.9125,53000.0,0.3056,174.7,0.395838876,0.415937793,1,310.6806621,107.494851,41.569576
巴中市,四川省,2015,556.3789337,324.0256767,12119.00014,32033.0,0.2315,15076.0,0.3661,379.52,0.235396583,0.320473246,3,619.5139114,107.062301,32.040248
白城市,吉林省,2015,331.3727913,334.1334322,17473.45813,27637.9,0.7585,35571.0,0.3758,196.67,0.410041532,0.329735137,1,309.0426683,123.1327161,45.4086001
白山市,吉林省,2015,331.3727913,175.8918288,9198.237019,27851.0,0.7585,53136.0,0.3396,125.37,0.715310472,0.329735137,1,162.683751,126.4183792,41.936895
白银市,甘肃省,2015,271.8187863,269.239942,12167.54156,32458.0,0.5565,25410.0,0.4168,180.76,0.297516259,0.442574149,2,259.6728796,104.784953,36.536461
百色市,广西壮族自治区,2015,321.4337585,154.8265923,14230.55811,35210.0,0.4785,27363.0,0.3054,413.19,0.128386988,0.367285829,4,430.4218734,106.6148824,23.9053605
蚌埠市,安徽省,2015,343.9123395,1493.58892,55930.60522,56462.0,0.7925,38267.0,0.3699,376.35,0.311927933,0.447582853,3,1568.399146,117.3825673,32.9176422
包头市,内蒙古自治区,2015,244.0242868,2558.087002,194829.2383,240630.0,0.9125,132253.0,0.4891,223.86,0.635968968,0.415937793,1,2379.475717,109.944912,40.6174777
宝鸡市,陕西省,2015,570.8337652,615.6921637,27718.07558,63125.0,0.7525,47565.0,0.2691,384.54,0.27565321,0.350504894,2,816.0740732,107.2322378,34.3609713
保定市,河北省,2015,658.2498147,1721.833163,146050.5248,77010.0,0.8815,29067.0,0.382,1202.19,0.32924147,0.323187745,2,3846.577866,115.490696,38.8579735
保山市,云南省,2015,227.1022862,459.9105922,13156.80009,34571.0,0.2895,21444.0,0.3948,259.1,0.116628446,0.433013509,5,306.1417101,99.1591622,25.1147115
北海市,广西壮族自治区,2015,321.4337585,284.1675405,26118.65726,71913.0,0.4785,55248.0,0.3167,171.96,0.294266056,0.367285829,4,789.9930065,109.3729721,21.6740808
北京,,2015,764.6311557,62765.56556,95299.82659,1028.934252,0.7595,113951.79,0.852283783,2166.12,0.893113,0.455594921,2,17167.65914,116.2,39.56
本溪市,辽宁省,2015,442.6222535,221.4930355,22536.04735,53267.0,0.7585,67656.0,0.4281,151.21,0.682825847,0.285487719,1,414.5934313,124.157425,41.176944
毕节市,贵州省,2015,644.7900108,769.1813759,62670.01863,61152.0,0.4785,22230.0,0.3901,904.2,0.269282093,0.413966526,3,1589.694461,105.215166,27.2150032
滨州市,山东省,2015,500.898581,404.2690572,26888.03214,60197.0,0.8715,61189.0,0.4193,389.07,0.267810362,0.407342476,2,703.7761179,117.9647262,37.3821206
亳州市,安徽省,2015,343.9123395,715.0263417,26775.67803,63859.0,0.7925,18771.0,0.4004,634.95,0.136577596,0.447582853,3,750.840267,115.7730968,33.8490794
沧州市,河北省,2015,658.2498147,922.0460493,78210.42846,32562.0,0.8815,44819.0,0.408,774.36,0.442655917,0.323187745,2,2059.852256,116.8511597,38.3042796
常德市,湖南省,2015,474.6520785,1109.462857,38008.77842,80139.0,0.5005,46408.0,0.4121,609.18,0.24671618,0.277265372,3,1149.524209,111.6928724,29.034552
常州市,江苏省,2015,1150.147111,871.6986786,68445.03926,296591.0,0.7335,112221.0,0.4951,370.85,0.597855663,0.526961882,3,3641.701187,119.9691539,31.8122623
朝阳市,辽宁省,2015,442.6222535,256.8363734,26132.09331,31934.9,0.7585,28852.0,0.4382,340.9,0.293781334,0.285487719,1,480.7495328,120.4390738,41.5754767
